month,basket_ret,after_tax_ret,nifty50_ret,excess_ret,tax_drag,cum_basket_rs100,cum_after_tax_rs100,cum_nifty50_rs100,basket_drawdown,nifty50_drawdown,rebalance_date,n_holdings,turnover_two_sided,est_cost_pct,avg_score,n_bought,n_sold,bought,sold
2024-03,,,,,,,,,,,2024-03-28,15.0,1.0,0.0025,-0.839354,15.0,0.0,AXISBANK;BAJAJFINSV;BRITANNIA;DRREDDY;HCLTECH;HDFCLIFE;HINDALCO;INDUSINDBK;INFY;JSWSTEEL;TATACONSUM;TCS;TECHM;ULTRACEMCO;WIPRO,
2024-04,-0.001496,-0.001496,0.012449,-0.013945,0.0,99.850358,99.850358,101.244907,-0.01661,-0.006546,2024-04-30,15.0,0.933333,0.002333,-0.892095,7.0,7.0,ADANIENT;APOLLOHOSP;CIPLA;LT;SBILIFE;SUNPHARMA;TITAN,AXISBANK;BRITANNIA;HCLTECH;HDFCLIFE;HINDALCO;INFY;JSWSTEEL
2024-05,-0.024308,-0.028099,-0.00328,-0.021028,0.003791,97.423167,97.044613,100.912795,-0.040514,-0.019025,2024-05-31,15.0,1.333333,0.003333,1.606593,10.0,10.0,AXISBANK;BPCL;EICHERMOT;HDFCBANK;ICICIBANK;JSWSTEEL;MARUTI;ONGC;SHRIRAMFIN;TRENT,BAJAJFINSV;DRREDDY;INDUSINDBK;SBILIFE;SUNPHARMA;TATACONSUM;TCS;TECHM;TITAN;WIPRO
2024-06,0.054987,0.054987,0.065684,-0.010696,0.0,102.780214,102.380843,107.541124,-0.003219,-0.00141,2024-06-28,15.0,0.4,0.001,1.291013,3.0,3.0,DRREDDY;HINDUNILVR;KOTAKBANK,APOLLOHOSP;ONGC;SHRIRAMFIN
2024-07,0.035328,0.031668,0.039172,-0.003845,0.00366,106.4112,105.623058,111.753759,0.0,0.0,2024-07-31,15.0,0.266667,0.000667,1.153006,2.0,2.0,ASIANPAINT;BAJAJFINSV,HINDUNILVR;LT
2024-08,0.021617,0.019664,0.011412,0.010204,0.001953,108.711459,107.700032,113.029126,0.0,0.0,2024-08-30,15.0,0.266667,0.000667,1.004679,2.0,2.0,BAJFINANCE;LT,ADANIENT;DRREDDY
2024-09,0.047843,0.046598,0.022783,0.02506,0.001245,113.912548,112.718675,115.604267,-0.010487,-0.015456,2024-09-30,15.0,0.4,0.001,0.732792,3.0,3.0,ADANIENT;ADANIPORTS;DRREDDY,BAJAJFINSV;EICHERMOT;ICICIBANK
2024-10,-0.074174,-0.078379,-0.062203,-0.011972,0.004205,105.463172,103.883847,108.41339,-0.083884,-0.076697,2024-10-31,15.0,0.933333,0.002333,0.390343,7.0,7.0,BAJAJ-AUTO;BAJAJFINSV;EICHERMOT;HDFCLIFE;ICICIBANK;SBILIFE;SBIN,ADANIENT;ADANIPORTS;ASIANPAINT;BAJFINANCE;BPCL;KOTAKBANK;MARUTI
2024-11,-0.030276,-0.030276,-0.003068,-0.027208,0.0,102.27017,100.73866,108.080832,-0.11162,-0.07953,2024-11-29,15.0,0.666667,0.001667,0.044855,5.0,5.0,APOLLOHOSP;HINDALCO;ITC;SHRIRAMFIN;TCS,AXISBANK;BAJAJ-AUTO;BAJAJFINSV;DRREDDY;SBILIFE
2024-12,-0.018965,-0.018965,-0.020152,0.001187,0.0,100.330607,98.828143,105.902747,-0.128468,-0.098079,2024-12-31,15.0,0.933333,0.002333,-0.238916,7.0,7.0,BEL;BHARTIARTL;DRREDDY;INFY;KOTAKBANK;M&M;SUNPHARMA,APOLLOHOSP;HDFCLIFE;HINDALCO;JSWSTEEL;LT;SBIN;TCS
