month,basket_ret,after_tax_ret,nifty50_ret,excess_ret,tax_drag,cum_basket_rs100,cum_after_tax_rs100,cum_nifty50_rs100,basket_drawdown,nifty50_drawdown,rebalance_date,n_holdings,turnover_two_sided,est_cost_pct,avg_score,n_bought,n_sold,bought,sold
2017-09,,,,,,,,,,,2017-09-29,15.0,1.0,0.0025,0.562629,15.0,0.0,BAJAJ-AUTO;BAJAJFINSV;BAJFINANCE;BPCL;BRITANNIA;GRASIM;HDFCBANK;HINDALCO;INDUSINDBK;KOTAKBANK;MARUTI;NESTLEIND;RELIANCE;TATACONSUM;TATASTEEL,
2017-10,0.047049,0.047049,0.055851,-0.008802,0.0,104.704887,104.704887,105.585071,-0.002676,-0.002736,,,,,,,,,
2017-11,0.013191,0.013191,-0.010522,0.023713,0.0,106.086061,106.086061,104.474084,-0.008053,-0.021617,,,,,,,,,
2017-12,0.029421,0.029421,0.029741,-0.00032,0.0,109.207209,109.207209,107.581274,-0.002052,-7.6e-05,2017-12-29,15.0,1.058779,0.002647,0.651055,8.0,8.0,ADANIENT;ADANIPORTS;APOLLOHOSP;BHARTIARTL;HINDUNILVR;LT;M&M;TITAN,BAJAJ-AUTO;BAJAJFINSV;BAJFINANCE;BPCL;GRASIM;INDUSINDBK;KOTAKBANK;NESTLEIND
2018-01,0.011422,0.007184,0.047195,-0.035773,0.004238,110.454608,109.991777,112.658609,-0.01114,-0.009227,,,,,,,,,
2018-02,-0.034235,-0.034235,-0.048501,0.014265,0.0,106.673156,106.22617,107.194594,-0.044994,-0.05728,,,,,,,,,
2018-03,-0.041912,-0.041912,-0.036134,-0.005778,0.0,102.202228,101.773977,103.321217,-0.085021,-0.091344,2018-03-28,15.0,1.11522,0.002788,0.749467,8.0,8.0,BAJFINANCE;GRASIM;INDUSINDBK;JSWSTEEL;KOTAKBANK;NESTLEIND;TCS;TECHM,ADANIPORTS;APOLLOHOSP;BHARTIARTL;HDFCBANK;HINDALCO;LT;M&M;TATACONSUM
2018-04,0.093836,0.089989,0.061862,0.031974,0.003847,111.792461,110.932485,109.71283,0.0,-0.035134,,,,,,,,,
2018-05,0.018698,0.018698,-0.000298,0.018996,0.0,113.882784,113.006728,109.680146,0.0,-0.035421,,,,,,,,,
2018-06,0.013319,0.013319,-0.002035,0.015354,0.0,115.399545,114.511821,109.456922,-0.012056,-0.037384,2018-06-29,15.0,0.681072,0.001703,0.736994,5.0,5.0,BAJAJFINSV;CIPLA;DRREDDY;HDFCBANK;M&M,ADANIENT;GRASIM;INDUSINDBK;MARUTI;TATASTEEL
