month,basket_ret,after_tax_ret,nifty50_ret,excess_ret,tax_drag,cum_basket_rs100,cum_after_tax_rs100,cum_nifty50_rs100,basket_drawdown,nifty50_drawdown,rebalance_date,n_holdings,turnover_two_sided,est_cost_pct,avg_score,n_bought,n_sold,bought,sold
2023-03,,,,,,,,,,,2023-03-31,15.0,1.0,0.0025,0.712905,15.0,0.0,AXISBANK;BEL;BRITANNIA;HDFCBANK;HINDUNILVR;ICICIBANK;INDUSINDBK;ITC;KOTAKBANK;LT;M&M;NESTLEIND;NTPC;POWERGRID;SHRIRAMFIN,
2023-04,0.053588,0.053588,0.040626,0.012963,0.0,105.358835,105.358835,104.062559,0.0,0.0,,,,,,,,,
2023-05,0.029189,0.029189,0.025984,0.003205,0.0,108.434177,108.434177,106.766517,-0.002291,-0.005337,,,,,,,,,
2023-06,0.060136,0.060136,0.035321,0.024815,0.0,114.95501,114.95501,110.537599,0.0,0.0,2023-06-30,15.0,1.138386,0.002846,0.662965,8.0,8.0,APOLLOHOSP;COALINDIA;HEROMOTOCO;JSWSTEEL;TATACONSUM;TITAN;TRENT;ULTRACEMCO,HDFCBANK;HINDUNILVR;ICICIBANK;KOTAKBANK;M&M;NESTLEIND;NTPC;POWERGRID
2023-07,0.017349,0.006523,0.029431,-0.012082,0.010827,116.949402,115.704839,113.790814,0.0,-0.011279,,,,,,,,,
2023-08,-0.012454,-0.012454,-0.025312,0.012858,0.0,115.492923,114.263859,110.910588,-0.012454,-0.036305,,,,,,,,,
2023-09,0.051896,0.051896,0.01997,0.031926,0.0,121.486597,120.19375,113.125482,-0.005808,-0.027439,2023-09-29,15.0,1.486573,0.003716,0.005547,11.0,11.0,BPCL;DRREDDY;GRASIM;HDFCBANK;ICICIBANK;M&M;NESTLEIND;RELIANCE;SBILIFE;TECHM;WIPRO,AXISBANK;BEL;BRITANNIA;COALINDIA;HEROMOTOCO;INDUSINDBK;LT;SHRIRAMFIN;TATACONSUM;TITAN;TRENT
2023-10,-0.025235,-0.047301,-0.02845,0.003215,0.022067,118.420927,114.508434,109.90711,-0.031425,-0.055108,,,,,,,,,
2023-11,0.072346,0.072346,0.055219,0.017127,0.0,126.988189,122.792645,115.976039,0.0,-0.002932,,,,,,,,,
2023-12,0.070576,0.070576,0.079384,-0.008808,0.0,135.950499,131.45885,125.182681,-0.003947,-0.002172,2023-12-29,15.0,1.440259,0.003601,0.742153,11.0,11.0,BAJAJ-AUTO;BEL;COALINDIA;HEROMOTOCO;INDUSINDBK;LT;NTPC;ONGC;POWERGRID;TATACONSUM;TRENT,APOLLOHOSP;DRREDDY;GRASIM;HDFCBANK;ICICIBANK;ITC;JSWSTEEL;M&M;RELIANCE;SBILIFE;TECHM
2024-01,0.040585,0.027378,-0.000262,0.040847,0.013207,141.468053,135.057927,125.149839,-0.008041,-0.016823,,,,,,,,,
