month,basket_ret,after_tax_ret,nifty50_ret,excess_ret,tax_drag,cum_basket_rs100,cum_after_tax_rs100,cum_nifty50_rs100,basket_drawdown,nifty50_drawdown,rebalance_date,n_holdings,turnover_two_sided,est_cost_pct,avg_score,n_bought,n_sold,bought,sold
2017-09,,,,,,,,,,,2017-09-29,15.0,1.0,0.0025,0.663797,15.0,0.0,ASHOKLEY;BALKRISIND;CAPLIPOINT;CHAMBLFERT;GAIL;INDUSINDBK;KAJARIACER;KARURVYSYA;KEC;MGL;MOTILALOFS;NESTLEIND;PCBL;TATACHEM;TATASTEEL,
2017-10,0.0346,0.0346,0.064372,-0.029772,0.0,103.460028,103.460028,106.437205,-0.008064,-0.001255,,,,,,,,,
2017-11,0.002991,0.002991,9.8e-05,0.002893,0.0,103.769474,103.769474,106.447674,-0.017982,-0.01279,,,,,,,,,
2017-12,0.047688,0.047688,0.03672,0.010969,0.0,108.718074,108.718074,110.3564,-0.000678,0.0,2017-12-29,15.0,1.914629,0.004787,0.757853,14.0,14.0,ESCORTS;GMRAIRPORT;HBLENGINE;HINDCOPPER;HSCL;IFCI;JINDALSTEL;M&M;MANAPPURAM;PAGEIND;RAMCOCEM;RPOWER;SAIL;WOCKPHARMA,ASHOKLEY;BALKRISIND;CAPLIPOINT;CHAMBLFERT;GAIL;INDUSINDBK;KAJARIACER;KARURVYSYA;KEC;MGL;MOTILALOFS;NESTLEIND;TATACHEM;TATASTEEL
2018-01,-0.027654,-0.042675,0.021837,-0.049491,0.015021,105.71163,104.078564,112.766284,-0.091648,-0.018153,,,,,,,,,
2018-02,-0.041383,-0.041383,-0.044958,0.003575,0.0,101.336992,99.771507,107.696516,-0.129238,-0.062295,,,,,,,,,
2018-03,-0.08292,-0.08292,-0.037768,-0.045153,0.0,92.934092,91.498417,103.629065,-0.201442,-0.09771,2018-03-28,15.0,1.771085,0.004428,0.697727,12.0,12.0,ASHOKLEY;CUB;GODREJCP;GPIL;GRASIM;HINDZINC;IDBI;KOTAKBANK;MARICO;NESTLEIND;TATASTEEL;WHIRLPOOL,ESCORTS;GMRAIRPORT;HBLENGINE;HINDCOPPER;IFCI;M&M;MANAPPURAM;PAGEIND;RAMCOCEM;RPOWER;SAIL;WOCKPHARMA
2018-04,0.081102,0.079423,0.065574,0.015528,0.00168,100.471261,98.765472,110.424419,-0.136677,-0.038543,,,,,,,,,
2018-05,-0.022559,-0.022559,-0.019075,-0.003484,0.0,98.204707,96.5374,108.318019,-0.156153,-0.056884,,,,,,,,,
2018-06,-0.021641,-0.021641,-0.016414,-0.005227,0.0,96.079458,94.448232,106.540119,-0.174415,-0.072364,2018-06-29,15.0,1.938633,0.004847,1.161156,14.0,14.0,BAJFINANCE;BATAINDIA;CIEINDIA;CIPLA;GRAPHITE;HDFCBANK;HEG;JUBLFOOD;KEI;PAGEIND;RBLBANK;RELIANCE;TECHM;UBL,ASHOKLEY;CUB;GODREJCP;GRASIM;HINDZINC;HSCL;IDBI;JINDALSTEL;KOTAKBANK;MARICO;NESTLEIND;PCBL;TATASTEEL;WHIRLPOOL
2018-07,0.062387,0.047728,0.053277,0.00911,0.014659,102.073558,98.956074,112.216275,-0.122909,-0.022942,,,,,,,,,
2018-08,0.073486,0.073486,0.035376,0.03811,0.0,109.574554,106.227977,116.186047,-0.058455,0.0,,,,,,,,,
