month,basket_ret,after_tax_ret,nifty50_ret,excess_ret,tax_drag,cum_basket_rs100,cum_after_tax_rs100,cum_nifty50_rs100,basket_drawdown,nifty50_drawdown,rebalance_date,n_holdings,turnover_two_sided,est_cost_pct,avg_score,n_bought,n_sold,bought,sold
2017-08,,,,,,,,,,,2017-08-31,15.0,1.0,0.0025,1.035393,15.0,0.0,BALKRISIND;BALRAMCHIN;CAPLIPOINT;CHENNPETRO;HINDPETRO;HSCL;INFY;ITI;JINDALSAW;KEC;MANAPPURAM;MGL;MRPL;PCBL;TATACONSUM,
2017-09,0.031919,0.031919,-0.01092,0.042839,0.0,103.19191,103.19191,98.907985,-0.029083,-0.039294,,,,,,,,,
2017-10,0.079173,0.079173,0.064372,0.014801,0.0,111.361966,111.361966,105.274894,0.0,-0.001255,2017-10-31,15.0,1.7948,0.004487,0.67759,13.0,13.0,GAIL;GMDCLTD;GRANULES;GRAVITA;HINDCOPPER;INDUSINDBK;INDUSTOWER;JINDALSTEL;PIIND;POWERGRID;SAIL;TATACHEM;ZEEL,BALRAMCHIN;CAPLIPOINT;CHENNPETRO;HINDPETRO;HSCL;INFY;ITI;JINDALSAW;KEC;MANAPPURAM;MGL;MRPL;TATACONSUM
2017-11,0.033628,0.017145,9.8e-05,0.03353,0.016483,115.106885,113.271294,105.285249,-0.011198,-0.01279,,,,,,,,,
2017-12,0.044434,0.044434,0.03672,0.007715,0.0,120.22157,118.304415,109.151291,-8e-06,0.0,2017-12-29,15.0,1.587903,0.00397,0.757853,11.0,11.0,ESCORTS;GMRAIRPORT;HBLENGINE;HSCL;IFCI;M&M;MANAPPURAM;PAGEIND;RAMCOCEM;RPOWER;WOCKPHARMA,BALKRISIND;GAIL;GMDCLTD;GRANULES;GRAVITA;INDUSINDBK;INDUSTOWER;PIIND;POWERGRID;TATACHEM;ZEEL
2018-01,-0.026863,-0.035517,0.021837,-0.0487,0.008654,116.99204,114.102614,111.534858,-0.091648,-0.018153,,,,,,,,,
2018-02,-0.041383,-0.041383,-0.044958,0.003575,0.0,112.150589,109.380735,106.520454,-0.129238,-0.062295,2018-02-28,15.0,1.730612,0.004327,0.887842,12.0,12.0,ASHOKLEY;CUB;FORTIS;GPIL;HINDZINC;IDBI;INTELLECT;IPCALAB;JUBLPHARMA;NESTLEIND;OFSS;TATASTEEL,ESCORTS;GMRAIRPORT;HBLENGINE;HINDCOPPER;IFCI;M&M;MANAPPURAM;PAGEIND;RAMCOCEM;RPOWER;SAIL;WOCKPHARMA
2018-03,-0.064147,-0.068125,-0.037768,-0.026379,0.003977,104.956453,101.929216,102.49742,-0.185095,-0.09771,,,,,,,,,
2018-04,0.116254,0.116254,0.065574,0.05068,0.0,117.158061,113.778896,109.218567,-0.090359,-0.038543,2018-04-30,15.0,1.359174,0.003398,0.708352,10.0,10.0,COROMANDEL;GODREJCP;HCLTECH;HINDALCO;INDHOTEL;MGL;NATIONALUM;PAGEIND;SUPREMEIND;WHIRLPOOL,CUB;FORTIS;IDBI;INTELLECT;IPCALAB;JINDALSTEL;JUBLPHARMA;OFSS;PCBL;TATASTEEL
2018-05,-0.057665,-0.069311,-0.019075,-0.03859,0.011645,110.402101,105.892809,107.135169,-0.142814,-0.056884,,,,,,,,,
