month,basket_ret,after_tax_ret,nifty50_ret,excess_ret,tax_drag,cum_basket_rs100,cum_after_tax_rs100,cum_nifty50_rs100,basket_drawdown,nifty50_drawdown,rebalance_date,n_holdings,turnover_two_sided,est_cost_pct,avg_score,n_bought,n_sold,bought,sold
2017-08,,,,,,,,,,,2017-08-31,15.0,1.0,0.0025,1.035393,15.0,0.0,BALKRISIND;BALRAMCHIN;CAPLIPOINT;CHENNPETRO;HINDPETRO;HSCL;INFY;ITI;JINDALSAW;KEC;MANAPPURAM;MGL;MRPL;PCBL;TATACONSUM,
2017-09,0.031919,0.031919,-0.01092,0.042839,0.0,103.19191,103.19191,98.907985,-0.029083,-0.039294,2017-09-29,15.0,1.461192,0.003653,0.663797,10.0,10.0,ASHOKLEY;CHAMBLFERT;GAIL;INDUSINDBK;KAJARIACER;KARURVYSYA;MOTILALOFS;NESTLEIND;TATACHEM;TATASTEEL,BALRAMCHIN;CHENNPETRO;HINDPETRO;HSCL;INFY;ITI;JINDALSAW;MANAPPURAM;MRPL;TATACONSUM
2017-10,0.033415,0.025548,0.064372,-0.030958,0.007867,106.640019,105.828207,105.274894,-0.008064,-0.001255,2017-10-31,15.0,1.294182,0.003235,0.67759,10.0,10.0,GMDCLTD;GRANULES;GRAVITA;HINDCOPPER;INDUSTOWER;JINDALSTEL;PIIND;POWERGRID;SAIL;ZEEL,ASHOKLEY;CAPLIPOINT;CHAMBLFERT;KAJARIACER;KARURVYSYA;KEC;MGL;MOTILALOFS;NESTLEIND;TATASTEEL
2017-11,0.034921,0.029368,9.8e-05,0.034823,0.005554,110.364011,108.93613,105.285249,-0.011198,-0.01279,2017-11-30,15.0,1.376925,0.003442,0.75051,9.0,9.0,CROMPTON;DLF;HBLENGINE;INDIANB;ITI;KEC;MMTC;SRF;TATAPOWER,BALKRISIND;GAIL;GMDCLTD;GRANULES;INDUSINDBK;PIIND;POWERGRID;TATACHEM;ZEEL
2017-12,0.060316,0.050313,0.03672,0.023596,0.010002,117.020703,114.417067,109.151291,0.0,0.0,2017-12-29,15.0,1.44151,0.003604,0.757853,10.0,10.0,ESCORTS;GMRAIRPORT;HSCL;IFCI;M&M;MANAPPURAM;PAGEIND;RAMCOCEM;RPOWER;WOCKPHARMA,CROMPTON;DLF;GRAVITA;INDIANB;INDUSTOWER;ITI;KEC;MMTC;SRF;TATAPOWER
2018-01,-0.026509,-0.032962,0.021837,-0.048346,0.006453,113.918603,110.645621,111.534858,-0.091648,-0.018153,2018-01-31,15.0,1.332172,0.00333,0.828357,9.0,9.0,CGPOWER;GPIL;IDFCFIRSTB;INDHOTEL;JUBLPHARMA;KEC;LT;LTFOODS;SYNGENE,HBLENGINE;HINDCOPPER;HSCL;M&M;MANAPPURAM;PAGEIND;RAMCOCEM;SAIL;WOCKPHARMA
2018-02,-0.032064,-0.037889,-0.044958,0.012894,0.005825,110.265921,106.453415,106.520454,-0.120773,-0.062295,2018-02-28,15.0,1.633857,0.004085,0.887842,11.0,11.0,ASHOKLEY;CUB;FORTIS;HINDZINC;HSCL;IDBI;INTELLECT;IPCALAB;NESTLEIND;OFSS;TATASTEEL,CGPOWER;ESCORTS;GMRAIRPORT;IDFCFIRSTB;IFCI;INDHOTEL;KEC;LT;LTFOODS;RPOWER;SYNGENE
2018-03,-0.06392,-0.068296,-0.037768,-0.026152,0.004376,103.217753,99.183062,102.49742,-0.176973,-0.09771,2018-03-28,15.0,0.862642,0.002157,0.697727,5.0,5.0,GODREJCP;GRASIM;KOTAKBANK;MARICO;WHIRLPOOL,FORTIS;INTELLECT;IPCALAB;JUBLPHARMA;OFSS
2018-04,0.083516,0.082355,0.065574,0.017942,0.001161,111.838042,107.351252,109.218567,-0.108238,-0.038543,2018-04-30,15.0,1.084701,0.002712,0.708352,8.0,8.0,COROMANDEL;HCLTECH;HINDALCO;INDHOTEL;MGL;NATIONALUM;PAGEIND;SUPREMEIND,CUB;GRASIM;IDBI;JINDALSTEL;KOTAKBANK;MARICO;PCBL;TATASTEEL
2018-05,-0.057003,-0.066995,-0.019075,-0.037927,0.009992,105.46294,100.159273,107.135169,-0.159071,-0.056884,2018-05-31,15.0,1.523745,0.003809,0.699386,11.0,11.0,BERGEPAINT;CUB;INDIGO;INTELLECT;MARICO;PNBHOUSING;POWERGRID;SRF;SYNGENE;TATACHEM;VOLTAS,COROMANDEL;GODREJCP;HCLTECH;HINDALCO;HINDZINC;HSCL;INDHOTEL;MGL;NATIONALUM;SUPREMEIND;WHIRLPOOL
2018-06,-0.046663,-0.048,-0.016414,-0.03025,0.001337,100.5417,95.351652,105.376684,-0.198311,-0.072364,2018-06-29,15.0,1.83256,0.004581,1.161156,13.0,13.0,BAJFINANCE;BATAINDIA;CIEINDIA;CIPLA;GRAPHITE;HDFCBANK;HEG;JUBLFOOD;KEI;RBLBANK;RELIANCE;TECHM;UBL,ASHOKLEY;BERGEPAINT;CUB;INDIGO;INTELLECT;MARICO;NESTLEIND;PNBHOUSING;POWERGRID;SRF;SYNGENE;TATACHEM;VOLTAS
2018-07,0.062671,0.057609,0.053277,0.009394,0.005063,106.842762,100.844718,110.990856,-0.148069,-0.022942,2018-07-31,15.0,1.153342,0.002883,1.02464,8.0,8.0,BAJAJ-AUTO;HAVELLS;NAUKRI;PCBL;PVRINOX;SHRIRAMFIN;TITAN;VBL,BAJFINANCE;CIEINDIA;CIPLA;GPIL;HDFCBANK;KEI;RELIANCE;UBL
2018-08,0.092307,0.084117,0.035376,0.056931,0.00819,116.705077,109.32745,114.917277,-0.06943,0.0,2018-08-31,15.0,1.395989,0.00349,1.009261,9.0,9.0,ABBOTINDIA;ADANIENSOL;GAIL;GODREJCP;INTELLECT;JSWSTEEL;MGL;NESTLEIND;UBL,BAJAJ-AUTO;BATAINDIA;HAVELLS;PVRINOX;RBLBANK;SHRIRAMFIN;TECHM;TITAN;VBL
2018-09,-0.126007,-0.138398,-0.08767,-0.038337,0.012391,101.999434,94.196725,104.842464,-0.186688,-0.08767,2018-09-28,15.0,1.286487,0.003216,1.019108,9.0,9.0,AUROPHARMA;BAJFINANCE;GPIL;HINDUNILVR;ICICIGI;MUTHOOTFIN;RADICO;TECHM;WHIRLPOOL,ADANIENSOL;GAIL;GODREJCP;GRAPHITE;JUBLFOOD;MGL;NAUKRI;NESTLEIND;PCBL
