month,basket_ret,after_tax_ret,nifty50_ret,excess_ret,tax_drag,cum_basket_rs100,cum_after_tax_rs100,cum_nifty50_rs100,basket_drawdown,nifty50_drawdown,rebalance_date,n_holdings,turnover_two_sided,est_cost_pct,avg_score,n_bought,n_sold,bought,sold
2017-09,,,,,,,,,,,2017-09-29,15.0,1.0,0.0025,0.696052,15.0,0.0,BALKRISIND;CAPLIPOINT;GAIL;GNFC;IMFA;JKPAPER;KAJARIACER;KARURVYSYA;KEC;MOIL;MOTILALOFS;PCBL;SHAKTIPUMP;TATACHEM;WELENT,
2017-10,0.097499,0.097499,0.064372,0.033127,0.0,109.749868,109.749868,106.437205,-0.006104,-0.001255,,,,,,,,,
2017-11,-0.014348,-0.014348,9.8e-05,-0.014446,0.0,108.1752,108.1752,106.447674,-0.020868,-0.01279,,,,,,,,,
2017-12,0.079841,0.079841,0.03672,0.043121,0.0,116.811978,116.811978,110.3564,0.0,0.0,2017-12-29,15.0,1.670177,0.004175,0.772132,12.0,12.0,ESCORTS;HBLENGINE;HINDCOPPER;HSCL;IFCI;M&M;RALLIS;RAMCOCEM;RPOWER;SAIL;SUNTECK;WOCKPHARMA,BALKRISIND;CAPLIPOINT;GAIL;GNFC;IMFA;KAJARIACER;KARURVYSYA;KEC;MOIL;MOTILALOFS;SHAKTIPUMP;TATACHEM
2018-01,-0.023876,-0.045405,0.021837,-0.045714,0.021529,114.022931,111.508101,112.766284,-0.093981,-0.018153,,,,,,,,,
2018-02,-0.044187,-0.044187,-0.044958,0.000771,0.0,108.984617,106.580909,107.696516,-0.134015,-0.062295,,,,,,,,,
2018-03,-0.074228,-0.074228,-0.037768,-0.03646,0.0,100.894889,98.669604,103.629065,-0.198296,-0.09771,2018-03-28,15.0,1.722729,0.004307,0.765663,12.0,12.0,ASHOKLEY;CUB;GPIL;GRASIM;HINDZINC;IDBI;JINDALSTEL;MARICO;NESTLEIND;RAIN;TATASTEEL;WHIRLPOOL,ESCORTS;HBLENGINE;HINDCOPPER;IFCI;JKPAPER;M&M;RALLIS;RAMCOCEM;RPOWER;SAIL;WELENT;WOCKPHARMA
2018-04,0.064708,0.060997,0.065574,-0.000865,0.003712,107.423644,104.688105,110.424419,-0.146418,-0.038543,,,,,,,,,
2018-05,-0.0521,-0.0521,-0.019075,-0.033024,0.0,101.826887,99.233869,108.318019,-0.19089,-0.056884,,,,,,,,,
2018-06,-0.04031,-0.04031,-0.016414,-0.023896,0.0,97.722267,95.233773,106.540119,-0.223505,-0.072364,2018-06-29,15.0,1.930886,0.004827,1.177668,14.0,14.0,AVANTIFEED;BAJFINANCE;BATAINDIA;CGPOWER;CIEINDIA;CIPLA;GRAPHITE;HDFCBANK;HEG;JUBLFOOD;KEI;KRBL;PAGEIND;TECHM,ASHOKLEY;CUB;GRASIM;HINDZINC;HSCL;IDBI;JINDALSTEL;MARICO;NESTLEIND;PCBL;RAIN;SUNTECK;TATASTEEL;WHIRLPOOL
