month,basket_ret,after_tax_ret,nifty50_ret,excess_ret,tax_drag,cum_basket_rs100,cum_after_tax_rs100,cum_nifty50_rs100,basket_drawdown,nifty50_drawdown,rebalance_date,n_holdings,turnover_two_sided,est_cost_pct,avg_score,n_bought,n_sold,bought,sold
2017-08,,,,,,,,,,,2017-08-31,15.0,1.0,0.0025,1.028079,15.0,0.0,CAPLIPOINT;CCAVENUE;CHENNPETRO;HINDPETRO;HSCL;INFY;ITI;JINDALSAW;KEC;MGL;MRPL;PCBL;SHAKTIPUMP;TATACONSUM;TRIVENI,
2017-09,0.014289,0.014289,-0.01092,0.025209,0.0,101.42885,101.42885,98.907985,-0.033984,-0.039294,,,,,,,,,
2017-10,0.078317,0.078317,0.064372,0.013945,0.0,109.372429,109.372429,105.274894,-0.002306,-0.001255,2017-10-31,15.0,1.795664,0.004489,0.76767,13.0,13.0,BALKRISIND;GAIL;GNFC;GRAVITA;HINDCOPPER;INDUSTOWER;MASTEK;MOIL;SAIL;SOUTHBANK;SPARC;TATACHEM;WELENT,CAPLIPOINT;CCAVENUE;CHENNPETRO;HINDPETRO;HSCL;INFY;ITI;JINDALSAW;KEC;MGL;MRPL;TATACONSUM;TRIVENI
2017-11,0.017102,0.001069,9.8e-05,0.017003,0.016033,111.242885,109.489308,105.285249,-0.018619,-0.01279,,,,,,,,,
2017-12,0.063794,0.063794,0.03672,0.027074,0.0,118.339512,116.474067,109.151291,-0.001188,0.0,2017-12-29,15.0,1.554496,0.003886,0.772132,11.0,11.0,ESCORTS;HBLENGINE;HSCL;IFCI;JKPAPER;M&M;RALLIS;RAMCOCEM;RPOWER;SUNTECK;WOCKPHARMA,BALKRISIND;GAIL;GNFC;GRAVITA;INDUSTOWER;MASTEK;MOIL;SHAKTIPUMP;SOUTHBANK;SPARC;TATACHEM
2018-01,-0.023597,-0.0331,0.021837,-0.045434,0.009503,115.547083,112.61882,111.534858,-0.093981,-0.018153,,,,,,,,,
2018-02,-0.044187,-0.044187,-0.044958,0.000771,0.0,110.441422,107.64255,106.520454,-0.134015,-0.062295,2018-02-28,15.0,1.718533,0.004296,0.961626,12.0,12.0,ASHOKLEY;CUB;GPIL;HINDZINC;IDBI;INTELLECT;IPCALAB;JUBLPHARMA;NESTLEIND;OFSS;SHAKTIPUMP;TATASTEEL,ESCORTS;HBLENGINE;HINDCOPPER;IFCI;JKPAPER;M&M;RALLIS;RAMCOCEM;RPOWER;SAIL;WELENT;WOCKPHARMA
2018-03,-0.045465,-0.049514,-0.037768,-0.007698,0.004049,105.420172,102.312731,102.49742,-0.173387,-0.09771,,,,,,,,,
2018-04,0.112314,0.112314,0.065574,0.04674,0.0,117.260336,113.803886,109.218567,-0.080547,-0.038543,2018-04-30,15.0,1.247136,0.003118,0.8465,9.0,9.0,ASHOKA;COROMANDEL;DCBBANK;HINDALCO;INDHOTEL;MGL;NATIONALUM;RAIN;SUPREMEIND,CUB;HINDZINC;IDBI;INTELLECT;IPCALAB;JUBLPHARMA;OFSS;PCBL;TATASTEEL
2018-05,-0.081564,-0.089375,-0.019075,-0.062488,0.007812,107.696157,103.632642,107.135169,-0.155541,-0.056884,,,,,,,,,
2018-06,-0.068944,-0.068944,-0.016414,-0.052531,0.0,100.271105,96.487746,105.376684,-0.213762,-0.072364,2018-06-29,15.0,1.930434,0.004826,1.177668,14.0,14.0,AVANTIFEED;BAJFINANCE;BATAINDIA;CGPOWER;CIEINDIA;CIPLA;GRAPHITE;HDFCBANK;HEG;JUBLFOOD;KEI;KRBL;PAGEIND;TECHM,ASHOKA;ASHOKLEY;COROMANDEL;DCBBANK;HINDALCO;HSCL;INDHOTEL;MGL;NATIONALUM;NESTLEIND;RAIN;SHAKTIPUMP;SUNTECK;SUPREMEIND
