month,basket_ret,after_tax_ret,nifty50_ret,excess_ret,tax_drag,cum_basket_rs100,cum_after_tax_rs100,cum_nifty50_rs100,basket_drawdown,nifty50_drawdown,rebalance_date,n_holdings,turnover_two_sided,est_cost_pct,avg_score,n_bought,n_sold,bought,sold
2017-08,,,,,,,,,,,2017-08-31,15.0,1.0,0.0025,1.028079,15.0,0.0,CAPLIPOINT;CCAVENUE;CHENNPETRO;HINDPETRO;HSCL;INFY;ITI;JINDALSAW;KEC;MGL;MRPL;PCBL;SHAKTIPUMP;TATACONSUM;TRIVENI,
2017-09,0.014289,0.014289,-0.01092,0.025209,0.0,101.42885,101.42885,98.907985,-0.033984,-0.039294,2017-09-29,15.0,1.549961,0.003875,0.696052,11.0,11.0,BALKRISIND;GAIL;GNFC;IMFA;JKPAPER;KAJARIACER;KARURVYSYA;MOIL;MOTILALOFS;TATACHEM;WELENT,CCAVENUE;CHENNPETRO;HINDPETRO;HSCL;INFY;ITI;JINDALSAW;MGL;MRPL;TATACONSUM;TRIVENI
2017-10,0.096009,0.087263,0.064372,0.031637,0.008746,111.166904,110.279801,105.274894,-0.006104,-0.001255,2017-10-31,15.0,0.926347,0.002316,0.76767,7.0,7.0,GRAVITA;HINDCOPPER;INDUSTOWER;MASTEK;SAIL;SOUTHBANK;SPARC,CAPLIPOINT;IMFA;JKPAPER;KAJARIACER;KARURVYSYA;KEC;MOTILALOFS
2017-11,0.019311,0.016803,9.8e-05,0.019213,0.002508,113.313667,112.132825,105.285249,-0.018619,-0.01279,2017-11-30,15.0,1.395815,0.00349,0.767887,10.0,10.0,CROMPTON;GHCL;INDIANB;ITI;JAMNAAUTO;MMTC;SRF;SUNTECK;TATAPOWER;TEXRAIL,BALKRISIND;GAIL;GNFC;MASTEK;MOIL;SHAKTIPUMP;SOUTHBANK;SPARC;TATACHEM;WELENT
2017-12,0.043298,0.025997,0.03672,0.006579,0.017301,118.219962,115.047984,109.151291,0.0,0.0,2017-12-29,15.0,1.543935,0.00386,0.772132,11.0,11.0,ESCORTS;HBLENGINE;HSCL;IFCI;JKPAPER;M&M;RALLIS;RAMCOCEM;RPOWER;WELENT;WOCKPHARMA,CROMPTON;GHCL;GRAVITA;INDIANB;INDUSTOWER;ITI;JAMNAAUTO;MMTC;SRF;TATAPOWER;TEXRAIL
2018-01,-0.023571,-0.030404,0.021837,-0.045409,0.006832,115.433372,111.5501,111.534858,-0.093981,-0.018153,2018-01-31,15.0,1.295609,0.003239,0.954717,9.0,9.0,GMRAIRPORT;GPIL;IDFCFIRSTB;INDHOTEL;JINDALSTEL;JUBLPHARMA;LTFOODS;SHAKTIPUMP;SYNGENE,HBLENGINE;HINDCOPPER;HSCL;JKPAPER;M&M;RALLIS;RAMCOCEM;SAIL;WOCKPHARMA
2018-02,-0.035686,-0.041247,-0.044958,0.009272,0.005561,111.314049,106.949043,106.520454,-0.126313,-0.062295,2018-02-28,15.0,1.531562,0.003829,0.961626,10.0,10.0,ASHOKLEY;CUB;HINDZINC;HSCL;IDBI;INTELLECT;IPCALAB;NESTLEIND;OFSS;TATASTEEL,ESCORTS;GMRAIRPORT;IDFCFIRSTB;IFCI;INDHOTEL;JINDALSTEL;LTFOODS;RPOWER;SYNGENE;WELENT
2018-03,-0.045017,-0.048007,-0.037768,-0.00725,0.00299,106.302998,101.814759,102.49742,-0.165644,-0.09771,2018-03-28,15.0,0.719465,0.001799,0.765663,5.0,5.0,GRASIM;JINDALSTEL;MARICO;RAIN;WHIRLPOOL,INTELLECT;IPCALAB;JUBLPHARMA;OFSS;SHAKTIPUMP
2018-04,0.067346,0.066951,0.065574,0.001772,0.000395,113.462054,108.631329,109.218567,-0.109453,-0.038543,2018-04-30,15.0,1.269268,0.003173,0.8465,9.0,9.0,ASHOKA;COROMANDEL;DCBBANK;HINDALCO;INDHOTEL;MGL;NATIONALUM;SHAKTIPUMP;SUPREMEIND,CUB;GRASIM;HINDZINC;IDBI;JINDALSTEL;MARICO;PCBL;TATASTEEL;WHIRLPOOL
2018-05,-0.081615,-0.088467,-0.019075,-0.06254,0.006851,104.201812,99.021079,107.135169,-0.182136,-0.056884,2018-05-31,15.0,1.526521,0.003816,0.690253,11.0,11.0,BERGEPAINT;INDIGO;INTELLECT;KRBL;PAGEIND;PNBHOUSING;POWERGRID;SRF;SYNGENE;TATACHEM;WELENT,ASHOKA;COROMANDEL;DCBBANK;HINDALCO;HSCL;INDHOTEL;MGL;NATIONALUM;SHAKTIPUMP;SUNTECK;SUPREMEIND
2018-06,-0.078349,-0.079005,-0.016414,-0.061935,0.000656,96.03773,91.197925,105.376684,-0.246214,-0.072364,2018-06-29,15.0,1.71388,0.004285,1.177668,12.0,12.0,AVANTIFEED;BAJFINANCE;BATAINDIA;CGPOWER;CIEINDIA;CIPLA;GRAPHITE;HDFCBANK;HEG;JUBLFOOD;KEI;TECHM,ASHOKLEY;BERGEPAINT;INDIGO;INTELLECT;NESTLEIND;PNBHOUSING;POWERGRID;RAIN;SRF;SYNGENE;TATACHEM;WELENT
2018-07,0.054311,0.049406,0.053277,0.001034,0.004905,101.253645,95.703651,110.990856,-0.205275,-0.022942,2018-07-31,15.0,1.27676,0.003192,1.078651,9.0,9.0,BAJAJ-AUTO;HAVELLS;NAUKRI;PVRINOX;RBLBANK;SHRIRAMFIN;TITAN;VBL;VMART,AVANTIFEED;BAJFINANCE;CGPOWER;CIEINDIA;CIPLA;GPIL;HDFCBANK;KEI;KRBL
2018-08,0.107234,0.100214,0.035376,0.071857,0.00702,112.111428,105.294454,114.917277,-0.120054,0.0,2018-08-31,15.0,1.476457,0.003691,1.075539,10.0,10.0,ABBOTINDIA;ADANIENSOL;GODREJCP;INTELLECT;JKPAPER;JSWSTEEL;MGL;NESTLEIND;PCBL;UBL,BAJAJ-AUTO;BATAINDIA;HAVELLS;PVRINOX;RBLBANK;SHRIRAMFIN;TECHM;TITAN;VBL;VMART
2018-09,-0.135305,-0.148835,-0.08767,-0.047635,0.01353,96.942217,89.622991,104.842464,-0.239115,-0.08767,2018-09-28,15.0,1.265835,0.003165,1.060959,9.0,9.0,AUROPHARMA;BAJFINANCE;GPIL;HINDUNILVR;ICICIGI;MASTEK;MUTHOOTFIN;RADICO;WHIRLPOOL,ADANIENSOL;GODREJCP;GRAPHITE;JKPAPER;JUBLFOOD;MGL;NAUKRI;NESTLEIND;PCBL
2018-10,0.011349,0.010673,-0.039771,0.05112,0.000676,98.042443,90.579535,100.672804,-0.23048,-0.123954,2018-10-31,15.0,1.643403,0.004109,0.971452,11.0,11.0,EICHERMOT;GAIL;HAVELLS;HDFCBANK;INDUSINDBK;M&M;NAUKRI;NESTLEIND;RELIANCE;TECHM;TITAN,ABBOTINDIA;AUROPHARMA;GPIL;HINDUNILVR;ICICIGI;JSWSTEEL;MASTEK;MUTHOOTFIN;RADICO;UBL;WHIRLPOOL
2018-11,0.037846,0.03382,0.040635,-0.002789,0.004027,101.752971,93.642901,104.763687,-0.201356,-0.088356,2018-11-30,15.0,0.971043,0.002428,1.019215,7.0,7.0,ADANIPOWER;CIPLA;INFY;IPCALAB;JKPAPER;RADICO;USHAMART,BAJFINANCE;EICHERMOT;GAIL;INDUSINDBK;M&M;RELIANCE;TITAN
