month,basket_ret,after_tax_ret,nifty50_ret,excess_ret,tax_drag,cum_basket_rs100,cum_after_tax_rs100,cum_nifty50_rs100,basket_drawdown,nifty50_drawdown,rebalance_date,n_holdings,turnover_two_sided,est_cost_pct,avg_score,n_bought,n_sold,bought,sold
2017-09,,,,,,,,,,,2017-09-29,15.0,1.0,0.0025,0.439822,15.0,0.0,ADANIPORTS;BAJFINANCE;BEL;BPCL;GRASIM;HEROMOTOCO;HINDALCO;INDUSINDBK;JSWSTEEL;KOTAKBANK;LT;MARUTI;NESTLEIND;TATACONSUM;TATASTEEL,
2017-10,0.053796,0.053796,0.055851,-0.002054,0.0,105.37963,105.37963,105.585071,0.0,-0.002736,,,,,,,,,
2017-11,-0.002789,-0.002789,-0.010522,0.007733,0.0,105.085682,105.085682,104.474084,-0.011598,-0.021617,,,,,,,,,
2017-12,0.040874,0.040874,0.029741,0.011133,0.0,109.380973,109.380973,107.581274,-0.000815,-7.6e-05,2017-12-29,15.0,0.58931,0.001473,0.303191,4.0,4.0,EICHERMOT;HCLTECH;M&M;TCS,BAJFINANCE;BPCL;GRASIM;HEROMOTOCO
2018-01,0.024693,0.022189,0.047195,-0.022503,0.002504,112.081872,111.808032,112.658609,-0.016689,-0.009227,,,,,,,,,
2018-02,-0.030975,-0.030975,-0.048501,0.017526,0.0,108.610176,108.344818,107.194594,-0.047146,-0.05728,,,,,,,,,
2018-03,-0.024907,-0.024907,-0.036134,0.011227,0.0,105.905008,105.646259,103.321217,-0.070879,-0.091344,2018-03-28,15.0,0.634439,0.001586,0.463294,5.0,5.0,ASIANPAINT;BAJAJFINSV;BAJFINANCE;GRASIM;INFY,ADANIPORTS;BEL;EICHERMOT;HINDALCO;M&M
2018-04,0.090564,0.090226,0.061862,0.028703,0.000338,115.496232,115.178295,109.71283,0.0,-0.035134,,,,,,,,,
2018-05,0.010949,0.010949,-0.000298,0.011247,0.0,116.760855,116.439437,109.680146,0.0,-0.035421,,,,,,,,,
2018-06,0.00575,0.00575,-0.002035,0.007785,0.0,117.432227,117.108961,109.456922,-0.008765,-0.037384,2018-06-29,15.0,1.18965,0.002974,0.525497,9.0,9.0,BAJAJ-AUTO;CIPLA;EICHERMOT;HDFCBANK;M&M;RELIANCE;SHRIRAMFIN;TECHM;TITAN,ASIANPAINT;BAJAJFINSV;GRASIM;HCLTECH;INFY;MARUTI;TATACONSUM;TATASTEEL;TCS
2018-07,0.040054,0.025899,0.059939,-0.019884,0.014155,122.1359,120.141959,116.017617,0.0,0.0,,,,,,,,,
2018-08,0.028908,0.028908,0.02853,0.000378,0.0,125.666641,123.615059,119.32759,-0.000536,-0.004941,,,,,,,,,
