month,basket_ret,after_tax_ret,nifty50_ret,excess_ret,tax_drag,cum_basket_rs100,cum_after_tax_rs100,cum_nifty50_rs100,basket_drawdown,nifty50_drawdown,rebalance_date,n_holdings,turnover_two_sided,est_cost_pct,avg_score,n_bought,n_sold,bought,sold
2017-09,,,,,,,,,,,2017-09-29,15.0,1.0,0.0025,0.221665,15.0,0.0,ADANIPORTS;ASIANPAINT;BEL;EICHERMOT;HCLTECH;HINDALCO;INDIGO;JSWSTEEL;KOTAKBANK;LT;MARUTI;NESTLEIND;ONGC;POWERGRID;TATASTEEL,
2017-10,0.053678,0.053678,0.055851,-0.002172,0.0,105.367827,105.367827,105.585071,0.0,-0.002736,,,,,,,,,
2017-11,-0.02338,-0.02338,-0.010522,-0.012857,0.0,102.904371,102.904371,104.474084,-0.029449,-0.021617,,,,,,,,,
2017-12,0.041529,0.041529,0.029741,0.011787,0.0,107.177842,107.177842,107.581274,0.0,-7.6e-05,2017-12-29,14.0,0.614848,0.001537,-0.104052,4.0,5.0,INFY;ITC;M&M;SUNPHARMA,ASIANPAINT;BEL;HINDALCO;JSWSTEEL;MARUTI
2018-01,0.029492,0.022918,0.047195,-0.017703,0.006574,110.338716,109.634182,112.658609,-0.013904,-0.009227,,,,,,,,,
2018-02,-0.019037,-0.019037,-0.048501,0.029464,0.0,108.238216,107.547093,107.194594,-0.032676,-0.05728,,,,,,,,,
2018-03,-0.025872,-0.025872,-0.036134,0.010262,0.0,105.437831,104.764589,103.321217,-0.057703,-0.091344,2018-03-28,15.0,0.853143,0.002133,0.155491,7.0,6.0,ASIANPAINT;BAJAJFINSV;BAJFINANCE;GRASIM;HINDALCO;TATACONSUM;ULTRACEMCO,INDIGO;INFY;ITC;ONGC;POWERGRID;SUNPHARMA
2018-04,0.09787,0.093854,0.061862,0.036009,0.004016,115.757078,114.597176,109.71283,0.0,-0.035134,,,,,,,,,
2018-05,0.004999,0.004999,-0.000298,0.005297,0.0,116.33578,115.170079,109.680146,0.0,-0.035421,,,,,,,,,
2018-06,-0.013061,-0.013061,-0.002035,-0.011026,0.0,114.816284,113.665809,109.456922,-0.015505,-0.037384,2018-06-29,15.0,1.051193,0.002628,0.505367,8.0,8.0,BAJAJ-AUTO;CIPLA;HDFCBANK;JSWSTEEL;RELIANCE;SHRIRAMFIN;TECHM;TITAN,ADANIPORTS;ASIANPAINT;BAJAJFINSV;GRASIM;HCLTECH;TATACONSUM;TATASTEEL;ULTRACEMCO
2018-07,0.035663,0.03019,0.059939,-0.024276,0.005473,118.910957,117.097347,116.017617,0.0,0.0,,,,,,,,,
2018-08,0.038361,0.038361,0.02853,0.009832,0.0,123.472556,121.589373,119.32759,-0.00038,-0.004941,,,,,,,,,
2018-09,-0.078506,-0.078506,-0.064214,-0.014292,0.0,113.779207,112.043865,111.665107,-0.078856,-0.068838,2018-09-28,15.0,0.68384,0.00171,0.362335,5.0,5.0,BAJAJFINSV;HINDUNILVR;ITC;MARUTI;SBIN,BAJAJ-AUTO;EICHERMOT;HINDALCO;RELIANCE;SHRIRAMFIN
2018-10,-0.027359,-0.032017,-0.049756,0.022396,0.004658,110.666292,108.45651,106.109148,-0.104058,-0.115168,,,,,,,,,
2018-11,0.054254,0.054254,0.047191,0.007064,0.0,116.670433,114.340761,111.116507,-0.055449,-0.073412,,,,,,,,,
2018-12,0.012153,0.012153,-0.001306,0.013458,0.0,118.08832,115.730336,110.971439,-0.04397,-0.074622,2018-12-31,15.0,0.591641,0.001479,0.249903,4.0,4.0,INFY;POWERGRID;RELIANCE;SBILIFE,BAJAJFINSV;BAJFINANCE;CIPLA;HINDUNILVR
2019-01,-0.01541,-0.022136,-0.002909,-0.012501,0.006726,116.268601,113.1685,110.648618,-0.058702,-0.077314,,,,,,,,,
2019-02,-0.009749,-0.009749,-0.00355,-0.006199,0.0,115.135118,112.06524,110.255812,-0.067879,-0.08059,,,,,,,,,
