month,basket_ret,after_tax_ret,nifty50_ret,excess_ret,tax_drag,cum_basket_rs100,cum_after_tax_rs100,cum_nifty50_rs100,basket_drawdown,nifty50_drawdown,rebalance_date,n_holdings,turnover_two_sided,est_cost_pct,avg_score,n_bought,n_sold,bought,sold
2017-08,,,,,,,,,,,2017-08-31,15.0,1.0,0.0025,0.319089,15.0,0.0,ADANIPORTS;ASIANPAINT;EICHERMOT;HCLTECH;HINDALCO;INDIGO;INFY;JSWSTEEL;KOTAKBANK;LT;MARUTI;NESTLEIND;POWERGRID;TATACONSUM;TATASTEEL,
2017-09,-0.007852,-0.007852,-0.013037,0.005185,0.0,99.214809,99.214809,98.696289,-0.039441,-0.0359,,,,,,,,,
2017-10,0.046632,0.046632,0.055851,-0.009219,0.0,103.841362,103.841362,104.208546,-0.003544,-0.002736,2017-10-31,15.0,0.5207,0.001302,-0.012075,4.0,4.0,M&M;ONGC;SHRIRAMFIN;TCS,ADANIPORTS;EICHERMOT;HINDALCO;TATACONSUM
2017-11,0.003176,-0.0006,-0.010522,0.013698,0.003776,104.171171,103.779082,103.112044,-0.012702,-0.021617,,,,,,,,,
2017-12,0.050149,0.050149,0.029741,0.020407,0.0,109.39521,108.983459,106.178725,0.0,-7.6e-05,2017-12-29,14.0,0.607567,0.001519,-0.104052,4.0,5.0,ADANIPORTS;EICHERMOT;ITC;SUNPHARMA,ASIANPAINT;JSWSTEEL;MARUTI;SHRIRAMFIN;TCS
2018-01,0.029511,0.023322,0.047195,-0.017685,0.006188,112.623547,111.525212,111.189866,-0.013904,-0.009227,,,,,,,,,
2018-02,-0.019037,-0.019037,-0.048501,0.029464,0.0,110.47955,109.402124,105.797086,-0.032676,-0.05728,2018-02-28,15.0,0.960514,0.002401,0.219715,8.0,7.0,ASIANPAINT;BAJAJFINSV;BAJFINANCE;BEL;GRASIM;HINDALCO;MARUTI;TATACONSUM,ADANIPORTS;INDIGO;INFY;ITC;M&M;ONGC;SUNPHARMA
2018-03,-0.020129,-0.025695,-0.036134,0.016005,0.005565,108.25568,106.591065,101.974206,-0.052147,-0.091344,,,,,,,,,
2018-04,0.07605,0.07605,0.061862,0.014188,0.0,116.488524,114.697315,108.282491,0.0,-0.035134,2018-04-30,15.0,0.524617,0.001312,-0.136154,4.0,4.0,ADANIPORTS;ITC;ONGC;ULTRACEMCO,BAJAJFINSV;BAJFINANCE;KOTAKBANK;TATACONSUM
2018-05,-0.02915,-0.035873,-0.000298,-0.028852,0.006723,113.092854,110.582783,108.250234,-0.030872,-0.035421,,,,,,,,,
2018-06,-0.032632,-0.032632,-0.002035,-0.030597,0.0,109.402425,106.974262,108.029919,-0.062496,-0.037384,2018-06-29,15.0,1.483192,0.003708,0.505367,11.0,11.0,BAJAJ-AUTO;BAJFINANCE;CIPLA;HDFCBANK;JSWSTEEL;KOTAKBANK;M&M;RELIANCE;SHRIRAMFIN;TECHM;TITAN,ADANIPORTS;ASIANPAINT;BEL;GRASIM;HCLTECH;ITC;MARUTI;ONGC;POWERGRID;TATASTEEL;ULTRACEMCO
2018-07,0.034532,0.031646,0.059939,-0.025407,0.002885,113.180275,110.359597,114.505082,-0.030123,0.0,,,,,,,,,
2018-08,0.038361,0.038361,0.02853,0.009832,0.0,117.522037,114.593153,117.771903,-0.00038,-0.004941,2018-08-31,15.0,0.375038,0.000938,0.050099,3.0,3.0,SBIN;TATACONSUM;TATASTEEL,BAJFINANCE;RELIANCE;TECHM
2018-09,-0.076215,-0.082521,-0.064214,-0.012001,0.006306,108.565078,105.136762,110.209316,-0.076566,-0.068838,,,,,,,,,
2018-10,-0.03232,-0.03232,-0.049756,0.017435,0.0,105.056237,101.738725,104.725791,-0.106412,-0.115168,2018-10-31,15.0,0.904506,0.002261,0.412476,7.0,7.0,ASIANPAINT;BAJAJFINSV;BAJFINANCE;ITC;MARUTI;RELIANCE;TECHM,BAJAJ-AUTO;CIPLA;HINDALCO;SBIN;SHRIRAMFIN;TATACONSUM;TATASTEEL
2018-11,0.069477,0.068783,0.047191,0.022286,0.000694,112.355226,108.736641,109.667869,-0.044328,-0.073412,,,,,,,,,
2018-12,0.006672,0.006672,-0.001306,0.007977,0.0,113.104852,109.462125,109.524691,-0.037952,-0.074622,2018-12-31,15.0,0.543117,0.001358,0.249903,4.0,4.0,INFY;POWERGRID;SBILIFE;SBIN,ASIANPAINT;BAJAJFINSV;BAJFINANCE;EICHERMOT
2019-01,-0.01529,-0.019982,-0.002909,-0.012381,0.004691,111.37546,107.274899,109.20608,-0.052661,-0.077314,,,,,,,,,
2019-02,-0.009749,-0.009749,-0.00355,-0.006199,0.0,110.289679,106.229094,108.818395,-0.061897,-0.08059,2019-02-28,15.0,0.504415,0.001261,0.1621,4.0,4.0,BAJAJ-AUTO;CIPLA;HINDALCO;TATASTEEL,INFY;MARUTI;RELIANCE;TECHM
2019-03,0.062365,0.057462,0.072041,-0.009675,0.004903,117.167941,112.333264,116.657756,-0.003392,-0.014354,,,,,,,,,
