month,basket_ret,after_tax_ret,nifty50_ret,excess_ret,tax_drag,cum_basket_rs100,cum_after_tax_rs100,cum_nifty50_rs100,basket_drawdown,nifty50_drawdown,rebalance_date,n_holdings,turnover_two_sided,est_cost_pct,avg_score,n_bought,n_sold,bought,sold
2017-09,,,,,,,,,,,2017-09-29,15.0,1.0,0.0025,0.401083,15.0,0.0,ADANIPORTS;BPCL;GAIL;HEROMOTOCO;HINDALCO;HINDPETRO;INDUSINDBK;IOC;JSWSTEEL;KOTAKBANK;LT;MARUTI;NESTLEIND;SHREECEM;TATASTEEL,
2017-10,0.048386,0.048386,0.055851,-0.007465,0.0,104.838614,104.838614,105.585071,-0.005784,-0.002736,,,,,,,,,
2017-11,-0.023457,-0.023457,-0.010522,-0.012935,0.0,102.379442,102.379442,104.474084,-0.029105,-0.021617,,,,,,,,,
2017-12,0.042468,0.042468,0.029741,0.012727,0.0,106.727319,106.727319,107.581274,-0.006353,-7.6e-05,2017-12-29,15.0,0.81808,0.002045,0.228594,6.0,6.0,BOSCHLTD;EICHERMOT;HCLTECH;INFY;M&M;POWERGRID,BPCL;HINDALCO;HINDPETRO;IOC;JSWSTEEL;MARUTI
2018-01,0.015782,0.008791,0.047195,-0.031413,0.006991,108.411691,107.665533,112.658609,-0.012714,-0.009227,,,,,,,,,
2018-02,-0.023432,-0.023432,-0.048501,0.025069,0.0,105.871377,105.142702,107.194594,-0.035848,-0.05728,,,,,,,,,
2018-03,-0.014165,-0.014165,-0.036134,0.021969,0.0,104.371699,103.653346,103.321217,-0.049505,-0.091344,2018-03-28,15.0,0.789398,0.001973,0.219814,6.0,6.0,AMBUJACEM;ASIANPAINT;BAJAJFINSV;BAJFINANCE;GRASIM;IOC,BOSCHLTD;EICHERMOT;INDUSINDBK;INFY;POWERGRID;SHREECEM
2018-04,0.078612,0.07654,0.061862,0.01675,0.002071,112.576532,111.587015,109.71283,0.0,-0.035134,,,,,,,,,
2018-05,0.007941,0.007941,-0.000298,0.008239,0.0,113.470463,112.473088,109.680146,0.0,-0.035421,,,,,,,,,
2018-06,-0.016621,-0.016621,-0.002035,-0.014586,0.0,111.58448,110.603682,109.456922,-0.022618,-0.037384,2018-06-29,15.0,1.177226,0.002943,0.607127,9.0,9.0,BAJAJ-AUTO;HDFCBANK;INDUSINDBK;JSWSTEEL;RELIANCE;SHRIRAMFIN;TECHM;TITAN;VEDL,ADANIPORTS;AMBUJACEM;ASIANPAINT;BAJAJFINSV;GRASIM;HCLTECH;HEROMOTOCO;IOC;TATASTEEL
