month,basket_ret,after_tax_ret,nifty50_ret,excess_ret,tax_drag,cum_basket_rs100,cum_after_tax_rs100,cum_nifty50_rs100,basket_drawdown,nifty50_drawdown,rebalance_date,n_holdings,turnover_two_sided,est_cost_pct,avg_score,n_bought,n_sold,bought,sold
2017-08,,,,,,,,,,,2017-08-31,15.0,1.0,0.0025,0.414401,15.0,0.0,ADANIPORTS;EICHERMOT;HINDALCO;HINDPETRO;INDIGO;INDUSINDBK;INFY;IOC;JSWSTEEL;KOTAKBANK;MARUTI;NESTLEIND;POWERGRID;TATASTEEL;YESBANK,
2017-09,-0.021279,-0.021279,-0.013037,-0.008241,0.0,97.872145,97.872145,98.696289,-0.040695,-0.0359,,,,,,,,,
2017-10,0.031772,0.031772,0.055851,-0.024079,0.0,100.981711,100.981711,104.208546,-0.010216,-0.002736,2017-10-31,15.0,0.825929,0.002065,0.17179,6.0,6.0,GAIL;HCLTECH;HEROMOTOCO;LT;SHRIRAMFIN;TCS,ADANIPORTS;EICHERMOT;HINDALCO;INDIGO;INFY;YESBANK
2017-11,-0.001068,-0.003879,-0.010522,0.009454,0.002811,100.873835,100.590011,103.112044,-0.011274,-0.021617,,,,,,,,,
2017-12,0.037965,0.037965,0.029741,0.008223,0.0,104.703461,104.408862,106.178725,-0.003612,-7.6e-05,2017-12-29,15.0,0.742122,0.001855,0.228594,6.0,6.0,ADANIPORTS;BOSCHLTD;EICHERMOT;INFY;M&M;SHREECEM,HINDPETRO;IOC;JSWSTEEL;MARUTI;SHRIRAMFIN;TCS
2018-01,0.015977,0.009348,0.047195,-0.031218,0.006629,106.376312,105.384921,111.189866,-0.012714,-0.009227,,,,,,,,,
2018-02,-0.023432,-0.023432,-0.048501,0.025069,0.0,103.883691,102.91553,105.797086,-0.035848,-0.05728,2018-02-28,15.0,0.778272,0.001946,0.303397,6.0,6.0,AMBUJACEM;ASIANPAINT;BAJAJFINSV;BAJFINANCE;GRASIM;MARUTI,BOSCHLTD;GAIL;HEROMOTOCO;INFY;M&M;SHREECEM
2018-03,-0.012485,-0.014,-0.036134,0.023649,0.001515,102.58671,101.474688,101.974206,-0.047885,-0.091344,,,,,,,,,
2018-04,0.081028,0.081028,0.061862,0.019166,0.0,110.89908,109.696954,108.282491,0.0,-0.035134,2018-04-30,15.0,0.545395,0.001363,-0.041714,4.0,4.0,BPCL;HEROMOTOCO;ITC;ULTRACEMCO,BAJAJFINSV;BAJFINANCE;INDUSINDBK;KOTAKBANK
2018-05,-0.03391,-0.041409,-0.000298,-0.033612,0.007499,107.138485,105.154513,108.250234,-0.03391,-0.035421,,,,,,,,,
2018-06,-0.026569,-0.026569,-0.002035,-0.024533,0.0,104.291955,102.360695,108.029919,-0.059578,-0.037384,2018-06-29,15.0,1.70861,0.004272,0.607127,13.0,13.0,BAJAJ-AUTO;BAJFINANCE;GAIL;HDFCBANK;INDUSINDBK;JSWSTEEL;KOTAKBANK;M&M;RELIANCE;SHRIRAMFIN;TECHM;TITAN;VEDL,ADANIPORTS;AMBUJACEM;ASIANPAINT;BPCL;EICHERMOT;GRASIM;HCLTECH;HEROMOTOCO;ITC;MARUTI;POWERGRID;TATASTEEL;ULTRACEMCO
2018-07,0.04181,0.038839,0.059939,-0.018128,0.002971,108.652418,106.336256,114.505082,-0.020259,0.0,,,,,,,,,
2018-08,0.027566,0.027566,0.02853,-0.000964,0.0,111.647562,109.267552,117.771903,-0.001307,-0.004941,2018-08-31,15.0,0.612128,0.00153,0.27666,5.0,5.0,BANKBARODA;EICHERMOT;SBIN;TATASTEEL;YESBANK,BAJAJ-AUTO;BAJFINANCE;RELIANCE;TECHM;VEDL
2018-09,-0.120371,-0.126332,-0.064214,-0.056157,0.005961,98.208406,95.463532,110.209316,-0.121521,-0.068838,,,,,,,,,
2018-10,-0.033168,-0.033168,-0.049756,0.016588,0.0,94.951063,92.29723,104.725791,-0.150658,-0.115168,2018-10-31,15.0,0.768952,0.001922,0.489147,6.0,6.0,ASIANPAINT;BAJAJFINSV;BAJFINANCE;BRITANNIA;RELIANCE;TECHM,BANKBARODA;LT;SBIN;SHRIRAMFIN;TATASTEEL;YESBANK
2018-11,0.065979,0.064742,0.047191,0.018789,0.001237,101.215866,98.272735,109.667869,-0.094619,-0.073412,,,,,,,,,
