month,basket_ret,after_tax_ret,nifty50_ret,excess_ret,tax_drag,cum_basket_rs100,cum_after_tax_rs100,cum_nifty50_rs100,basket_drawdown,nifty50_drawdown,rebalance_date,n_holdings,turnover_two_sided,est_cost_pct,avg_score,n_bought,n_sold,bought,sold
2017-08,,,,,,,,,,,2017-08-31,15.0,1.0,0.0025,0.414401,15.0,0.0,ADANIPORTS;EICHERMOT;HINDALCO;HINDPETRO;INDIGO;INDUSINDBK;INFY;IOC;JSWSTEEL;KOTAKBANK;MARUTI;NESTLEIND;POWERGRID;TATASTEEL;YESBANK,
2017-09,-0.021279,-0.021279,-0.013037,-0.008241,0.0,97.872145,97.872145,98.696289,-0.040695,-0.0359,2017-09-29,15.0,0.706073,0.001765,0.401083,5.0,5.0,BPCL;GAIL;HEROMOTOCO;LT;SHREECEM,EICHERMOT;INDIGO;INFY;POWERGRID;YESBANK
2017-10,0.049152,0.049119,0.055851,-0.006699,3.3e-05,102.682733,102.679515,104.208546,-0.005784,-0.002736,2017-10-31,15.0,0.552988,0.001382,0.17179,4.0,4.0,HCLTECH;POWERGRID;SHRIRAMFIN;TCS,ADANIPORTS;BPCL;HINDALCO;SHREECEM
2017-11,-0.000386,-0.004621,-0.010522,0.010136,0.004235,102.643094,102.205023,103.112044,-0.006725,-0.021617,2017-11-30,15.0,0.757357,0.001893,0.162448,6.0,6.0,ADANIPORTS;BAJFINANCE;EICHERMOT;M&M;SHREECEM;ULTRACEMCO,HCLTECH;HEROMOTOCO;HINDPETRO;IOC;MARUTI;SHRIRAMFIN
2017-12,0.025563,0.02263,0.029741,-0.004179,0.002933,105.26691,104.517909,106.178725,0.0,-7.6e-05,2017-12-29,15.0,0.545419,0.001364,0.228594,4.0,4.0,BOSCHLTD;HCLTECH;HEROMOTOCO;INFY,BAJFINANCE;JSWSTEEL;TCS;ULTRACEMCO
2018-01,0.016482,0.01439,0.047195,-0.030713,0.002092,107.001925,106.021933,111.189866,-0.012714,-0.009227,2018-01-31,15.0,1.114372,0.002786,0.239503,8.0,8.0,ASIANPAINT;BAJFINANCE;HINDALCO;IOC;ONGC;ULTRACEMCO;YESBANK;ZEEL,BOSCHLTD;HEROMOTOCO;INDUSINDBK;INFY;M&M;NESTLEIND;POWERGRID;SHREECEM
2018-02,-0.047232,-0.050901,-0.048501,0.001269,0.003669,101.948019,100.625305,105.797086,-0.059345,-0.05728,2018-02-28,15.0,0.97905,0.002448,0.303397,7.0,7.0,AMBUJACEM;BAJAJFINSV;GRASIM;INDUSINDBK;MARUTI;NESTLEIND;POWERGRID,GAIL;HINDALCO;IOC;ONGC;ULTRACEMCO;YESBANK;ZEEL
2018-03,-0.01298,-0.014541,-0.036134,0.023154,0.001561,100.624769,99.162149,101.974206,-0.071555,-0.091344,2018-03-28,15.0,0.588948,0.001472,0.219814,4.0,4.0,GAIL;HEROMOTOCO;IOC;M&M,EICHERMOT;INDUSINDBK;MARUTI;POWERGRID
2018-04,0.079143,0.078044,0.061862,0.017281,0.001098,108.588484,106.901191,108.282491,0.0,-0.035134,2018-04-30,15.0,0.811482,0.002029,-0.041714,6.0,6.0,BPCL;EICHERMOT;ITC;MARUTI;POWERGRID;ULTRACEMCO,BAJAJFINSV;BAJFINANCE;GAIL;IOC;KOTAKBANK;M&M
2018-05,-0.034562,-0.042359,-0.000298,-0.034264,0.007797,104.835452,102.372954,108.250234,-0.034562,-0.035421,2018-05-31,15.0,0.788426,0.001971,0.006402,6.0,6.0,BAJAJ-AUTO;GAIL;ONGC;SUNPHARMA;YESBANK;ZEEL,AMBUJACEM;ASIANPAINT;BPCL;EICHERMOT;HEROMOTOCO;ITC
