date,ADANIENT,ADANIPORTS,APOLLOHOSP,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BAJAJFINSV,BAJFINANCE,BEL,BHARTIARTL,BPCL,BRITANNIA,CIPLA,COALINDIA,DRREDDY,EICHERMOT,GRASIM,HCLTECH,HDFCBANK,HDFCLIFE,HEROMOTOCO,HINDALCO,HINDUNILVR,ICICIBANK,INDUSINDBK,INFY,ITC,JSWSTEEL,KOTAKBANK,LT,M&M,MARUTI,NESTLEIND,NTPC,ONGC,POWERGRID,RELIANCE,SBILIFE,SBIN,SHRIRAMFIN,SUNPHARMA,TATACONSUM,TATASTEEL,TCS,TECHM,TITAN,TRENT,ULTRACEMCO,WIPRO
2016-07-04,46.86,213.25,1343.5,1000.4,543.85,2652.8,235.18,82.04,38.62,336.48,184.36,1420.45,510.2,317.95,687.0,1949.22,706.69,374.17,293.2,,3159.8,125.95,893.05,225.59,1107.6,591.97,235.82,147.36,148.79,1045.4,732.7,4173.8,326.4,129.96,154.7,93.04,225.54,,223.0,241.74,770.8,134.1,31.56,1247.1,519.1,405.25,179.18,3409.15,105.32
2016-07-05,46.1,214.55,1345.3,985.1,539.7,2612.15,231.46,81.7,38.63,329.77,182.99,1418.12,507.0,321.95,690.11,1943.14,700.2,369.2,291.4,,3111.1,123.65,890.2,222.82,1107.1,587.72,234.52,148.12,148.08,1050.73,729.85,4173.35,326.64,127.17,153.83,90.7,227.01,,223.5,239.86,774.5,133.9,31.79,1242.65,515.25,401.9,177.84,3375.15,105.93
2016-07-07,45.58,210.05,1357.25,987.7,542.25,2610.55,232.38,80.96,38.48,327.47,185.68,1404.57,514.3,315.55,704.96,1959.31,702.14,358.55,296.41,,3102.7,127.7,918.3,222.59,1105.4,578.62,237.84,146.32,149.18,1036.33,728.4,4141.1,325.57,127.42,151.07,91.88,225.82,,220.05,236.38,778.2,134.45,30.27,1214.9,504.55,402.85,176.99,3382.4,104.93
2016-07-08,44.65,207.05,1370.2,1010.7,546.45,2604.6,230.6,82.08,38.13,319.99,185.78,1402.53,520.3,311.7,712.25,1945.16,700.67,360.92,293.71,,3167.8,126.85,920.7,219.95,1126.7,579.1,236.73,147.7,148.69,1021.77,726.72,4161.8,320.61,128.17,148.87,92.5,223.65,,218.3,235.95,777.5,132.6,30.33,1213.3,502.95,401.45,177.46,3400.05,105.31
2016-07-11,45.61,217.45,1361.95,1026.8,544.4,2649.05,235.91,85.68,38.12,324.32,188.88,1429.62,522.0,320.9,725.29,1954.6,704.26,358.4,299.94,,3244.55,129.05,929.4,227.14,1124.45,587.53,239.91,150.88,152.11,1039.87,735.97,4272.05,324.36,131.38,150.0,93.71,226.87,,224.7,249.37,789.0,133.1,31.15,1232.07,508.4,402.65,177.36,3454.55,106.66
2016-07-12,45.74,218.0,1378.7,1020.45,561.0,2651.8,242.91,86.27,38.24,327.43,186.76,1428.6,515.7,317.05,719.27,1967.71,715.9,360.67,300.54,,3248.25,135.25,925.3,237.91,1125.2,588.28,239.19,154.13,152.73,1045.33,737.58,4370.4,321.36,131.92,151.93,93.71,229.36,,226.7,253.54,783.05,132.9,32.61,1232.47,507.2,406.05,177.54,3487.3,107.03
2016-07-13,44.87,217.3,1390.95,1009.5,556.85,2657.1,236.18,85.75,37.77,327.79,181.87,1433.8,514.6,324.05,723.12,1953.66,714.19,360.0,299.44,,3245.9,135.8,927.45,237.41,1104.4,596.9,237.94,155.7,155.0,1034.27,732.22,4321.4,329.06,131.38,156.1,91.04,230.58,,227.7,250.65,778.55,132.15,34.08,1246.55,506.55,404.8,176.95,3434.65,107.62
2016-07-14,44.65,216.9,1370.8,1017.6,560.25,2665.1,239.73,86.7,38.76,330.72,184.47,1429.88,511.95,324.65,716.64,1951.71,734.6,364.12,300.09,,3261.0,135.8,932.95,244.18,1114.1,588.12,239.48,157.51,156.04,1042.97,723.62,4428.3,328.35,132.25,153.7,92.84,229.7,,232.0,248.15,768.55,132.6,34.23,1260.95,518.15,414.9,176.54,3500.6,106.99
2016-07-15,44.08,220.5,1379.45,1025.9,565.05,2695.6,243.02,87.0,37.96,341.49,184.92,1410.3,516.4,318.85,717.6,1978.1,743.99,358.75,305.92,,3244.1,137.4,941.5,241.59,1126.8,536.28,239.62,163.6,154.43,1057.23,732.4,4472.05,331.65,130.21,153.5,92.39,231.37,,231.5,247.78,770.4,132.6,35.53,1222.68,504.05,417.75,175.05,3531.35,103.97
2016-07-18,44.19,217.95,1361.7,1028.5,571.0,2755.35,246.05,88.01,37.67,326.84,185.38,1408.15,506.95,321.65,713.55,1995.42,740.28,361.25,306.86,,3249.7,137.25,921.95,239.45,1130.9,540.97,239.67,160.6,155.36,1049.6,734.35,4454.75,330.93,129.67,145.73,91.8,230.01,,228.75,239.49,776.7,129.95,34.84,1216.72,506.6,413.8,175.13,3498.45,103.49
2016-07-19,43.73,220.6,1341.4,1030.7,565.45,2758.85,249.84,86.43,37.62,328.33,190.72,1380.03,505.8,318.95,717.18,1970.99,734.49,365.08,304.59,,3231.2,138.0,895.15,244.68,1107.15,543.47,239.81,162.82,155.56,1048.53,728.3,4485.7,332.14,130.17,147.33,93.6,232.65,,229.6,234.31,782.4,130.05,35.28,1233.1,507.6,413.25,176.66,3507.75,102.98
2016-07-20,45.2,221.4,1333.45,1028.55,558.25,2779.35,255.42,86.4,37.87,327.52,191.5,1404.72,517.85,329.25,735.33,1984.98,747.07,365.0,308.05,,3275.25,135.9,906.9,243.18,1118.5,541.55,240.97,161.95,156.44,1047.23,730.7,4469.15,333.71,131.12,149.27,94.7,233.84,,231.15,232.38,797.25,133.85,35.1,1247.47,505.35,412.1,175.17,3559.85,101.03
2016-07-21,44.19,223.2,1333.0,1042.7,538.05,2770.6,260.87,87.08,37.5,331.53,192.08,1407.38,515.85,333.35,723.4,1975.5,756.27,361.77,307.15,,3266.3,133.9,910.05,238.09,1136.65,539.95,241.31,161.23,152.13,1038.37,717.42,4413.7,343.39,129.08,148.4,91.41,230.03,,225.65,227.34,794.2,131.8,34.52,1253.03,505.3,409.2,175.59,3638.5,101.63
2016-07-22,44.46,225.35,1334.2,1047.05,537.7,2720.6,259.98,88.38,37.46,331.08,194.4,1425.45,520.4,331.45,719.97,1981.25,754.7,364.6,307.7,,3260.85,136.0,903.2,239.5,1138.85,536.22,240.58,161.3,152.01,1049.33,720.28,4414.7,353.92,130.5,148.3,93.57,231.98,,223.5,229.55,786.6,131.5,34.82,1257.55,504.9,409.7,178.8,3639.7,100.83
2016-07-25,44.06,226.15,1352.95,1070.65,538.1,2700.85,259.99,89.84,37.69,335.22,197.83,1425.2,524.6,333.75,696.47,1997.2,750.07,370.2,311.74,,3280.05,135.2,906.95,244.23,1156.35,540.42,242.41,162.85,152.88,1057.27,731.83,4550.55,356.33,131.25,151.2,95.03,233.78,,229.9,233.6,804.0,133.45,34.65,1279.47,508.4,412.75,176.84,3670.0,101.78
2016-07-26,45.17,224.4,1355.0,1060.75,553.8,2673.95,271.51,98.48,37.16,333.33,196.12,1411.9,523.55,327.45,663.93,2011.22,749.37,372.62,309.7,,3210.1,131.65,902.7,237.86,1156.45,544.35,242.41,165.93,150.34,1061.8,724.47,4471.3,358.21,131.75,149.57,96.41,234.08,,226.7,236.36,798.4,131.15,35.04,1276.3,502.5,414.0,176.4,3628.3,102.39
2016-07-27,45.15,228.7,1357.1,1061.8,548.85,2670.15,261.42,97.93,36.94,335.76,196.17,1406.4,523.15,325.55,596.04,2033.97,751.47,376.75,309.24,,3204.65,133.8,903.85,246.0,1178.3,542.67,238.23,173.93,150.8,1068.1,726.9,4558.15,353.82,132.54,148.83,97.0,231.58,,229.25,245.31,807.9,137.45,34.59,1288.78,504.25,411.7,177.82,3650.75,102.97
2016-07-28,44.85,225.25,1347.95,1128.0,543.85,2660.5,266.51,103.17,37.0,335.18,194.6,1432.65,520.65,329.95,591.95,2109.98,746.46,375.4,312.11,,3197.3,134.25,909.4,247.27,1168.3,538.75,244.87,168.43,150.07,1051.5,726.25,4763.5,361.86,132.17,147.57,99.11,234.61,,231.0,240.25,825.45,140.15,33.33,1309.62,485.55,426.6,179.89,3678.75,103.84
2016-07-29,43.95,232.4,1361.9,1114.15,546.15,2700.8,272.39,103.73,37.45,326.3,197.55,1466.9,527.4,328.0,587.07,2246.08,755.24,376.48,311.55,,3203.15,133.55,922.55,239.0,1175.65,536.92,243.09,167.52,152.7,1039.23,733.38,4757.6,359.42,131.96,146.73,99.0,231.99,,229.4,249.47,829.95,142.15,33.83,1309.65,487.95,421.4,183.11,3718.2,102.2
