date,ADANIENT,ADANIPORTS,APOLLOHOSP,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BAJAJFINSV,BAJFINANCE,BEL,BHARTIARTL,BPCL,BRITANNIA,CIPLA,COALINDIA,DRREDDY,EICHERMOT,GRASIM,HCLTECH,HDFCBANK,HDFCLIFE,HEROMOTOCO,HINDALCO,HINDUNILVR,ICICIBANK,INDUSINDBK,INFY,ITC,JSWSTEEL,KOTAKBANK,LT,M&M,MARUTI,NESTLEIND,NTPC,ONGC,POWERGRID,RELIANCE,SBILIFE,SBIN,SHRIRAMFIN,SUNPHARMA,TATACONSUM,TATASTEEL,TCS,TECHM,TITAN,TRENT,ULTRACEMCO,WIPRO
2016-07-04,5.71,15.24,79.08,55.0,15.52,18.9,20.08,34.62,22.85,30.45,9.89,41.34,30.14,14.07,27.5,39.56,13.82,18.84,23.16,,20.08,,46.56,14.17,28.82,20.16,30.47,,39.47,34.12,28.9,22.94,,11.9,15.42,14.51,10.49,,14.16,25.85,40.8,,,20.25,16.79,53.32,161.43,37.75,15.58
2016-07-05,5.61,15.34,79.18,54.16,15.4,18.61,19.77,34.47,22.86,29.84,9.82,41.27,29.95,14.25,27.63,39.44,13.69,18.59,23.02,,19.77,,46.41,14.0,28.81,20.02,30.3,,39.28,34.29,28.79,22.93,,11.65,15.34,14.15,10.55,,14.19,25.65,41.0,,,20.18,16.66,52.88,160.21,37.38,15.67
2016-07-07,5.55,15.01,79.89,54.3,15.48,18.6,19.84,34.16,22.77,29.64,9.96,40.88,30.38,13.97,28.22,39.77,13.73,18.05,23.41,,19.72,,47.88,13.98,28.76,19.71,30.73,,39.57,33.82,28.73,22.76,,11.67,15.06,14.33,10.5,,13.97,25.28,41.2,,,19.73,16.32,53.01,159.45,37.46,15.52
2016-07-08,5.44,14.8,80.65,55.56,15.6,18.56,19.69,34.63,22.56,28.96,9.97,40.82,30.73,13.8,28.51,39.48,13.7,18.17,23.2,,20.13,,48.0,13.82,29.32,19.72,30.59,,39.44,33.35,28.67,22.87,,11.74,14.84,14.43,10.4,,13.86,25.24,41.16,,,19.7,16.27,52.82,159.87,37.65,15.58
2016-07-11,5.56,15.54,80.16,56.45,15.54,18.87,20.15,36.15,22.56,29.35,10.13,41.61,30.83,14.21,29.03,39.67,13.77,18.05,23.69,,20.62,,48.46,14.27,29.26,20.01,31.0,,40.35,33.94,29.03,23.48,,12.03,14.96,14.62,10.55,,14.27,26.67,41.77,,,20.01,16.44,52.98,159.78,38.26,15.78
2016-07-12,5.57,15.58,81.15,56.1,16.01,18.89,20.74,36.4,22.63,29.63,10.02,41.58,30.46,14.03,28.79,39.94,14.0,18.16,23.74,,20.64,,48.24,14.94,29.28,20.04,30.9,,40.51,34.12,29.1,24.02,,12.08,15.15,14.62,10.66,,14.39,27.12,41.45,,,20.01,16.4,53.43,159.95,38.62,15.83
2016-07-13,5.47,15.53,81.87,55.5,15.89,18.93,20.17,36.18,22.35,29.66,9.76,41.73,30.4,14.34,28.95,39.65,13.96,18.13,23.65,,20.63,,48.36,14.91,28.74,20.33,30.74,,41.11,33.76,28.88,23.75,,12.03,15.56,14.2,10.72,,14.46,26.81,41.21,,,20.24,16.38,53.26,159.41,38.04,15.92
2016-07-14,5.44,15.5,80.68,55.94,15.99,18.99,20.47,36.58,22.93,29.93,9.9,41.61,30.24,14.37,28.69,39.61,14.36,18.33,23.7,,20.73,,48.64,15.34,28.99,20.03,30.94,,41.39,34.04,28.55,24.33,,12.11,15.32,14.48,10.68,,14.73,26.54,40.69,,,20.48,16.76,54.59,159.04,38.77,15.83
2016-07-15,5.37,15.76,81.19,56.4,16.13,19.21,20.75,36.71,22.46,30.9,9.92,41.04,30.5,14.11,28.73,40.15,14.55,18.06,24.16,,20.62,,49.09,15.18,29.32,18.27,30.96,,40.96,34.51,28.89,24.57,,11.92,15.3,14.41,10.76,,14.7,26.5,40.78,,,19.86,16.3,54.97,157.7,39.11,15.38
2016-07-18,5.38,15.58,80.15,56.54,16.3,19.63,21.01,37.13,22.29,29.58,9.95,40.98,29.94,14.24,28.56,40.5,14.47,18.19,24.24,,20.65,,48.07,15.04,29.43,18.43,30.97,,41.21,34.26,28.97,24.48,,11.87,14.53,14.32,10.69,,14.52,25.61,41.12,,,19.76,16.38,54.45,157.78,38.74,15.31
