symbol,name,sector
ADANIENT,Adani Enterprises Limited,Energy
ADANIPORTS,Adani Ports and Special Economic Zone Limited,Industrials
APOLLOHOSP,Apollo Hospitals Enterprise Limited,Healthcare
ASIANPAINT,Asian Paints Limited,Basic Materials
AXISBANK,Axis Bank Limited,Financial Services
BAJAJ-AUTO,Bajaj Auto Limited,Consumer Cyclical
BAJAJFINSV,Bajaj Finserv Ltd.,Financial Services
BAJFINANCE,Bajaj Finance Limited,Financial Services
BEL,Bharat Electronics Limited,Industrials
BHARTIARTL,Bharti Airtel Limited,Communication Services
CIPLA,Cipla Limited,Healthcare
COALINDIA,Coal India Limited,Energy
DRREDDY,Dr. Reddy's Laboratories Limited,Healthcare
EICHERMOT,Eicher Motors Limited,Consumer Cyclical
ETERNAL,Eternal Limited,Consumer Cyclical
GRASIM,Grasim Industries Limited,Basic Materials
HCLTECH,HCL Technologies Limited,Technology
HDFCBANK,HDFC Bank Limited,Financial Services
HDFCLIFE,HDFC Life Insurance Company Limited,Financial Services
HINDALCO,Hindalco Industries Limited,Basic Materials
HINDUNILVR,Hindustan Unilever Limited,Consumer Defensive
ICICIBANK,ICICI Bank Limited,Financial Services
INDIGO,InterGlobe Aviation Limited,Industrials
INFY,Infosys Limited,Technology
ITC,ITC Limited,Consumer Defensive
JIOFIN,Jio Financial Services Limited,Financial Services
JSWSTEEL,JSW Steel Limited,Basic Materials
KOTAKBANK,Kotak Mahindra Bank Limited,Financial Services
LT,Larsen & Toubro Limited,Industrials
M&M,Mahindra & Mahindra Limited,Consumer Cyclical
MARUTI,Maruti Suzuki India Limited,Consumer Cyclical
MAXHEALTH,Max Healthcare Institute Limited,Healthcare
NESTLEIND,Nestlé India Limited,Consumer Defensive
NTPC,NTPC Limited,Utilities
ONGC,Oil and Natural Gas Corporation Limited,Energy
POWERGRID,Power Grid Corporation of India Limited,Utilities
RELIANCE,Reliance Industries Limited,Energy
SBILIFE,SBI Life Insurance Company Limited,Financial Services
SBIN,State Bank of India,Financial Services
SHRIRAMFIN,Shriram Finance Limited,Financial Services
SUNPHARMA,Sun Pharmaceutical Industries Limited,Healthcare
TATACONSUM,Tata Consumer Products Limited,Consumer Defensive
TATASTEEL,Tata Steel Limited,Basic Materials
TCS,Tata Consultancy Services Limited,Technology
TECHM,Tech Mahindra Limited,Technology
TITAN,Titan Company Limited,Consumer Cyclical
TMPV,Tata Motors Passenger Vehicles Limited,Consumer Cyclical
TRENT,Trent Limited,Consumer Cyclical
ULTRACEMCO,UltraTech Cement Limited,Basic Materials
WIPRO,Wipro Limited,Technology
