Symbol,FFMC
ADANIENT,1350169255933.0
ADANIPORTS,1637000355844.0
APOLLOHOSP,891560419421.0
ASIANPAINT,1213971666264.99
AXISBANK,3793191601743.0
BAJAJ-AUTO,1100802370816.0
BAJFINANCE,2731809600663.0
BAJAJFINSV,1053783474858.0
BEL,1464892600387.5
BHARTIARTL,5822085248050.585
BPCL,568930688592.9307
BRITANNIA,633918158520.5
CIPLA,824823678528.0
COALINDIA,1165862200905.0
DRREDDY,825758481474.0
EICHERMOT,979799959072.0
GRASIM,1152075675377.8926
HCLTECH,1190944526181.9355
HDFCBANK,12300417668103.422
HDFCLIFE,548470003780.98175
HEROMOTOCO,628690757629.0
HINDALCO,1362922542664.8757
HINDUNILVR,1952074724166.0
ICICIBANK,10055532129695.344
INDUSINDBK,610356027226.6022
INFY,4062202519474.9106
ITC,2747399834000.351
JSWSTEEL,1084873850586.0
KOTAKBANK,2909467026866.128
LT,4601040595272.309
M&M,2592949780823.662
MARUTI,1688238237618.0
NESTLEIND,1020893643828.0
NTPC,1551913990870.514
ONGC,924902683175.0
POWERGRID,1239382776840.7798
RELIANCE,8649817434757.416
SBILIFE,743057207704.7886
SBIN,4228192091322.5234
SHRIRAMFIN,1894208070080.0
SUNPHARMA,2034486461298.5
TATACONSUM,707529924073.5
TATASTEEL,1550871817222.114
TCS,2139810242092.5
TECHM,761348662232.6906
TITAN,1481000019835.0322
TRENT,960769403480.5288
ULTRACEMCO,1330982684454.0
WIPRO,534988115239.77783
